id,year,category,full_name,laureate_type,prize_share,prize,motivation,laureate_id,birth_date,birth_city,birth_country,sex,organization_name,organization_city,organization_country,death_date,death_city,death_country
846,1936,Physiology or Medicine,Otto Loewi,Individual,1/2,The Nobel Prize in Physiology or Medicine 1936,"""for their discoveries relating to chemical transmission of nerve impulses""",331.0,1873-06-03,Frankfurt-on-the-Main,Germany,Male,Graz University,Graz,Austria,1961-12-25,"New York, NY",United States of America
847,1937,Physiology or Medicine,Albert von Szent-Györgyi Nagyrápolt,Individual,1/1,The Nobel Prize in Physiology or Medicine 1937,"""for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid""",332.0,1893-09-16,Budapest,Austria-Hungary (Hungary),Male,Szeged University,Szeged,Hungary,1986-10-22,"Woods Hole, MA",United States of America
848,1938,Physiology or Medicine,Corneille Jean François Heymans,Individual,1/1,The Nobel Prize in Physiology or Medicine 1938,"""for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration""",333.0,1892-03-28,Ghent,Belgium,Male,Ghent University,Ghent,Belgium,1968-07-18,Knokke,Belgium
849,1939,Physiology or Medicine,Gerhard Domagk,Individual,1/1,The Nobel Prize in Physiology or Medicine 1939,"""for the discovery of the antibacterial effects of prontosil""",334.0,1895-10-30,Lagow,Germany (Poland),Male,Munster University,Munster,Germany,1964-04-24,Burgberg,West Germany (Germany)
850,1943,Physiology or Medicine,Henrik Carl Peter Dam,Individual,1/2,The Nobel Prize in Physiology or Medicine 1943,"""for his discovery of vitamin K""",335.0,1895-02-21,Copenhagen,Denmark,Male,Polytechnic Institute,Copenhagen,Denmark,1976-04-17,Copenhagen,Denmark
851,1943,Physiology or Medicine,Edward Adelbert Doisy,Individual,1/2,The Nobel Prize in Physiology or Medicine 1943,"""for his discovery of the chemical nature of vitamin K""",336.0,1893-11-13,"Hume, IL",United States of America,Male,Saint Louis University,"St. Louis, MO",United States of America,1986-10-23,"St. Louis, MO",United States of America
852,1944,Physiology or Medicine,Joseph Erlanger,Individual,1/2,The Nobel Prize in Physiology or Medicine 1944,"""for their discoveries relating to the highly differentiated functions of single nerve fibres""",337.0,1874-01-05,"San Francisco, CA",United States of America,Male,Washington University,"St. Louis, MO",United States of America,1965-12-05,"St. Louis, MO",United States of America
853,1944,Physiology or Medicine,Herbert Spencer Gasser,Individual,1/2,The Nobel Prize in Physiology or Medicine 1944,"""for their discoveries relating to the highly differentiated functions of single nerve fibres""",338.0,1888-07-05,"Platteville, WI",United States of America,Male,Rockefeller Institute for Medical Research,"New York, NY",United States of America,1963-05-11,"New York, NY",United States of America
854,1945,Physiology or Medicine,Sir Alexander Fleming,Individual,1/3,The Nobel Prize in Physiology or Medicine 1945,"""for the discovery of penicillin and its curative effect in various infectious diseases""",339.0,1881-08-06,Lochfield,Scotland,Male,London University,London,United Kingdom,1955-03-11,London,United Kingdom
855,1945,Physiology or Medicine,Ernst Boris Chain,Individual,1/3,The Nobel Prize in Physiology or Medicine 1945,"""for the discovery of penicillin and its curative effect in various infectious diseases""",340.0,1906-06-19,Berlin,Germany,Male,University of Oxford,Oxford,United Kingdom,1979-08-12,Mulrany,Ireland
856,1945,Physiology or Medicine,Sir Howard Walter Florey,Individual,1/3,The Nobel Prize in Physiology or Medicine 1945,"""for the discovery of penicillin and its curative effect in various infectious diseases""",341.0,1898-09-24,Adelaide,Australia,Male,University of Oxford,Oxford,United Kingdom,1968-02-21,Oxford,United Kingdom
857,1946,Physiology or Medicine,Hermann Joseph Muller,Individual,1/1,The Nobel Prize in Physiology or Medicine 1946,"""for the discovery of the production of mutations by means of X-ray irradiation""",342.0,1890-12-21,"New York, NY",United States of America,Male,Indiana University,"Bloomington, IN",United States of America,1967-04-05,N/A,N/A
858,1947,Physiology or Medicine,Carl Ferdinand Cori,Individual,1/4,The Nobel Prize in Physiology or Medicine 1947,"""for their discovery of the course of the catalytic conversion of glycogen""",343.0,1896-12-05,Prague,Austria-Hungary (Czech Republic),Male,Washington University,"St. Louis, MO",United States of America,1984-10-20,"Cambridge, MA",United States of America
859,1947,Physiology or Medicine,"Gerty Theresa Cori, née Radnitz",Individual,1/4,The Nobel Prize in Physiology or Medicine 1947,"""for their discovery of the course of the catalytic conversion of glycogen""",344.0,1896-08-15,Prague,Austria-Hungary (Czech Republic),Female,Washington University,"St. Louis, MO",United States of America,1957-10-26,"St. Louis, MO",United States of America
860,1947,Physiology or Medicine,Bernardo Alberto Houssay,Individual,1/2,The Nobel Prize in Physiology or Medicine 1947,"""for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar""",345.0,1887-04-10,Buenos Aires,Argentina,Male,Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine),Buenos Aires,Argentina,1971-09-21,Buenos Aires,Argentina
861,1948,Physiology or Medicine,Paul Hermann Müller,Individual,1/1,The Nobel Prize in Physiology or Medicine 1948,"""for his discovery of the high efficiency of DDT as a contact poison against several arthropods""",346.0,1899-01-12,Olten,Switzerland,Male,Laboratorium der Farben-Fabriken J.R. Geigy A.G. (Laboratory of the J.R. Geigy Dye-Factory Co.),Basel,Switzerland,1965-10-12,Basel,Switzerland
862,1949,Physiology or Medicine,Walter Rudolf Hess,Individual,1/2,The Nobel Prize in Physiology or Medicine 1949,"""for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs""",347.0,1881-03-17,Frauenfeld,Switzerland,Male,University of Zurich,Zurich,Switzerland,1973-08-12,Ascona,Switzerland
863,1949,Physiology or Medicine,Antonio Caetano de Abreu Freire Egas Moniz,Individual,1/2,The Nobel Prize in Physiology or Medicine 1949,"""for his discovery of the therapeutic value of leucotomy in certain psychoses""",348.0,1874-11-29,Avanca,Portugal,Male,University of Lisbon,Lisbon,Portugal,1955-12-13,Lisbon,Portugal
864,1949,Physiology or Medicine,Antonio Caetano de Abreu Freire Egas Moniz,Individual,1/2,The Nobel Prize in Physiology or Medicine 1949,"""for his discovery of the therapeutic value of leucotomy in certain psychoses""",348.0,1874-11-29,Avanca,Portugal,Male,Neurological Institute,Lisbon,Portugal,1955-12-13,Lisbon,Portugal
865,1950,Physiology or Medicine,Edward Calvin Kendall,Individual,1/3,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",349.0,1886-03-08,"South Norwalk, CT",United States of America,Male,Mayo Clinic,"Rochester, MN",United States of America,1972-05-04,"Princeton, NJ",United States of America
866,1950,Physiology or Medicine,Tadeus Reichstein,Individual,1/3,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",350.0,1897-07-20,Wloclawek,Poland,Male,Basel University,Basel,Switzerland,1996-08-01,Basel,Switzerland
867,1950,Physiology or Medicine,Philip Showalter Hench,Individual,1/3,The Nobel Prize in Physiology or Medicine 1950,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",351.0,1896-02-28,"Pittsburgh, PA",United States of America,Male,Mayo Clinic,"Rochester, MN",United States of America,1965-03-30,Ocho Rios,Jamaica
868,1951,Physiology or Medicine,Max Theiler,Individual,1/1,The Nobel Prize in Physiology or Medicine 1951,"""for his discoveries concerning yellow fever and how to combat it""",352.0,1899-01-30,Pretoria,South Africa,Male,"Laboratories of the Division of Medicine and Public Health, Rockefeller Foundation","New York, NY",United States of America,1972-08-11,"New Haven, CT",United States of America
869,1952,Physiology or Medicine,Selman Abraham Waksman,Individual,1/1,The Nobel Prize in Physiology or Medicine 1952,"""for his discovery of streptomycin, the first antibiotic effective against tuberculosis""",353.0,1888-07-22,Priluka (Nova Pryluka),Russian Empire (Ukraine),Male,Rutgers University,"New Brunswick, NJ",United States of America,1973-08-16,"Hyannis, MA",United States of America
870,1953,Physiology or Medicine,Hans Adolf Krebs,Individual,1/2,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of the citric acid cycle""",354.0,1900-08-25,Hildesheim,Germany,Male,Sheffield University,Sheffield,United Kingdom,1981-11-22,Oxford,United Kingdom
871,1953,Physiology or Medicine,Fritz Albert Lipmann,Individual,1/2,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",355.0,1899-06-12,Koenigsberg (Kaliningrad),Germany (Russia),Male,Harvard Medical School,"Boston, MA",United States of America,1986-07-24,"Poughkeepsie, NY",United States of America
872,1953,Physiology or Medicine,Fritz Albert Lipmann,Individual,1/2,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",355.0,1899-06-12,Koenigsberg (Kaliningrad),Germany (Russia),Male,Massachusetts General Hospital,"Boston, MA",United States of America,1986-07-24,"Poughkeepsie, NY",United States of America
873,1954,Physiology or Medicine,John Franklin Enders,Individual,1/3,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",356.0,1897-02-10,"West Hartford, CT",United States of America,Male,Harvard Medical School,"Boston, MA",United States of America,1985-09-08,"Waterford, CT",United States of America
874,1954,Physiology or Medicine,John Franklin Enders,Individual,1/3,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",356.0,1897-02-10,"West Hartford, CT",United States of America,Male,"Research Division of Infectious Diseases, Children's Medical Center","Boston, MA",United States of America,1985-09-08,"Waterford, CT",United States of America
875,1954,Physiology or Medicine,Thomas Huckle Weller,Individual,1/3,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",357.0,1915-06-15,"Ann Arbor, MI",United States of America,Male,"Research Division of Infectious Diseases, Children's Medical Center","Boston, MA",United States of America,2008-08-23,"Needham, MA",United States of America
876,1954,Physiology or Medicine,Frederick Chapman Robbins,Individual,1/3,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",358.0,1916-08-25,"Auburn, AL",United States of America,Male,Western Reserve University,"Cleveland, OH",United States of America,2003-08-04,"Cleveland, OH",United States of America
877,1955,Physiology or Medicine,Axel Hugo Theodor Theorell,Individual,1/1,The Nobel Prize in Physiology or Medicine 1955,"""for his discoveries concerning the nature and mode of action of oxidation enzymes""",359.0,1903-07-06,Linköping,Sweden,Male,"Karolinska Institutet, Nobel Medical Institute",Stockholm,Sweden,1982-08-15,Stockholm,Sweden
878,1956,Physiology or Medicine,André Frédéric Cournand,Individual,1/3,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",360.0,1895-09-24,Paris,France,Male,"Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital","New York, NY",United States of America,1988-02-19,"Great Barrington, MA",United States of America
879,1956,Physiology or Medicine,Werner Forssmann,Individual,1/3,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",361.0,1904-08-29,Berlin,Germany,Male,Mainz University,Mainz,Federal Republic of Germany,1979-06-01,Schopfheim,West Germany (Germany)
880,1956,Physiology or Medicine,Werner Forssmann,Individual,1/3,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",361.0,1904-08-29,Berlin,Germany,Male,N/A,Bad Kreuznach,Federal Republic of Germany,1979-06-01,Schopfheim,West Germany (Germany)
881,1956,Physiology or Medicine,Dickinson W. Richards,Individual,1/3,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",362.0,1895-10-30,"Orange, NJ",United States of America,Male,Columbia University,"New York, NY",United States of America,1973-02-23,"Lakeville, CT",United States of America
882,1957,Physiology or Medicine,Daniel Bovet,Individual,1/1,The Nobel Prize in Physiology or Medicine 1957,"""for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles""",363.0,1907-03-23,Neuchâtel,Switzerland,Male,Istituto Superiore di Sanità (Chief Institute of Public Health),Rome,Italy,1992-04-08,Rome,Italy
883,1958,Physiology or Medicine,George Wells Beadle,Individual,1/4,The Nobel Prize in Physiology or Medicine 1958,"""for their discovery that genes act by regulating definite chemical events""",364.0,1903-10-22,"Wahoo, NE",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,1989-06-09,"Pomona, CA",United States of America
884,1958,Physiology or Medicine,Edward Lawrie Tatum,Individual,1/4,The Nobel Prize in Physiology or Medicine 1958,"""for their discovery that genes act by regulating definite chemical events""",365.0,1909-12-14,"Boulder, CO",United States of America,Male,Rockefeller Institute for Medical Research,"New York, NY",United States of America,1975-11-05,"New York, NY",United States of America
885,1958,Physiology or Medicine,Joshua Lederberg,Individual,1/2,The Nobel Prize in Physiology or Medicine 1958,"""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria""",366.0,1925-05-23,"Montclair, NJ",United States of America,Male,University of Wisconsin,"Madison, WI",United States of America,2008-02-02,"New York, NY",United States of America
886,1959,Physiology or Medicine,Severo Ochoa,Individual,1/2,The Nobel Prize in Physiology or Medicine 1959,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",367.0,1905-09-24,Luarca,Spain,Male,"New York University, College of Medicine","New York, NY",United States of America,1993-11-01,Madrid,Spain
887,1959,Physiology or Medicine,Arthur Kornberg,Individual,1/2,The Nobel Prize in Physiology or Medicine 1959,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",368.0,1918-03-03,"Brooklyn, NY",United States of America,Male,Stanford University,"Stanford, CA",United States of America,2007-10-26,"Stanford, CA",United States of America
888,1960,Physiology or Medicine,Sir Frank Macfarlane Burnet,Individual,1/2,The Nobel Prize in Physiology or Medicine 1960,"""for discovery of acquired immunological tolerance""",369.0,1899-09-03,Traralgon,Australia,Male,Walter and Eliza Hall Institute for Medical Research,Melbourne,Australia,1985-08-31,Melbourne,Australia
889,1960,Physiology or Medicine,Peter Brian Medawar,Individual,1/2,The Nobel Prize in Physiology or Medicine 1960,"""for discovery of acquired immunological tolerance""",370.0,1915-02-28,Rio de Janeiro,Brazil,Male,University College,London,United Kingdom,1987-10-02,London,United Kingdom
890,1961,Physiology or Medicine,Georg von Békésy,Individual,1/1,The Nobel Prize in Physiology or Medicine 1961,"""for his discoveries of the physical mechanism of stimulation within the cochlea""",371.0,1899-06-03,Budapest,Hungary,Male,Harvard University,"Cambridge, MA",United States of America,1972-06-13,"Honolulu, HI",United States of America
891,1962,Physiology or Medicine,Francis Harry Compton Crick,Individual,1/3,The Nobel Prize in Physiology or Medicine 1962,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",372.0,1916-06-08,Northampton,United Kingdom,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,2004-07-28,"San Diego, CA",United States of America
892,1962,Physiology or Medicine,James Dewey Watson,Individual,1/3,The Nobel Prize in Physiology or Medicine 1962,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",373.0,1928-04-06,"Chicago, IL",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,N/A,N/A,N/A
893,1962,Physiology or Medicine,Maurice Hugh Frederick Wilkins,Individual,1/3,The Nobel Prize in Physiology or Medicine 1962,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",374.0,1916-12-15,Pongaroa,New Zealand,Male,London University,London,United Kingdom,2004-10-05,London,United Kingdom
894,1963,Physiology or Medicine,Sir John Carew Eccles,Individual,1/3,The Nobel Prize in Physiology or Medicine 1963,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",375.0,1903-01-27,Melbourne,Australia,Male,Australian National University,Canberra,Australia,1997-05-02,Contra,Switzerland
895,1963,Physiology or Medicine,Alan Lloyd Hodgkin,Individual,1/3,The Nobel Prize in Physiology or Medicine 1963,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",376.0,1914-02-05,Banbury,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,1998-12-20,Cambridge,United Kingdom
896,1963,Physiology or Medicine,Andrew Fielding Huxley,Individual,1/3,The Nobel Prize in Physiology or Medicine 1963,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",377.0,1917-11-22,Hampstead,United Kingdom,Male,University College,London,United Kingdom,2012-05-30,Grantchester,United Kingdom
897,1964,Physiology or Medicine,Konrad Bloch,Individual,1/2,The Nobel Prize in Physiology or Medicine 1964,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",378.0,1912-01-21,Neisse (Nysa),Germany (Poland),Male,Harvard University,"Cambridge, MA",United States of America,2000-10-15,"Burlington, MA",United States of America
898,1964,Physiology or Medicine,Feodor Lynen,Individual,1/2,The Nobel Prize in Physiology or Medicine 1964,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",379.0,1911-04-06,Munich,Germany,Male,Max-Planck-Institut für Zellchemie,Munich,Federal Republic of Germany,1979-08-06,Munich,Germany
899,1965,Physiology or Medicine,François Jacob,Individual,1/3,The Nobel Prize in Physiology or Medicine 1965,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",380.0,1920-06-17,Nancy,France,Male,Institut Pasteur,Paris,France,2013-04-19,Paris,France
900,1965,Physiology or Medicine,André Lwoff,Individual,1/3,The Nobel Prize in Physiology or Medicine 1965,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",381.0,1902-05-08,Ainay-le-Château,France,Male,Institut Pasteur,Paris,France,1994-09-30,Paris,France
901,1965,Physiology or Medicine,Jacques Monod,Individual,1/3,The Nobel Prize in Physiology or Medicine 1965,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",382.0,1910-02-09,Paris,France,Male,Institut Pasteur,Paris,France,1976-05-31,Cannes,France
902,1966,Physiology or Medicine,Peyton Rous,Individual,1/2,The Nobel Prize in Physiology or Medicine 1966,"""for his discovery of tumour-inducing viruses""",383.0,1879-10-05,"Baltimore, MD",United States of America,Male,Rockefeller University,"New York, NY",United States of America,1972-02-16,"New York, NY",United States of America
903,1966,Physiology or Medicine,Charles Brenton Huggins,Individual,1/2,The Nobel Prize in Physiology or Medicine 1966,"""for his discoveries concerning hormonal treatment of prostatic cancer""",384.0,1901-09-22,Halifax,Canada,Male,"University of Chicago, Ben May Laboratory for Cancer Research","Chicago, IL",United States of America,1997-01-12,"Chicago, IL",United States of America
904,1967,Physiology or Medicine,Ragnar Granit,Individual,1/3,The Nobel Prize in Physiology or Medicine 1967,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",385.0,1900-10-30,Helsinki,Russian Empire (Finland),Male,Karolinska Institutet,Stockholm,Sweden,1991-03-12,Stockholm,Sweden
905,1967,Physiology or Medicine,Haldan Keffer Hartline,Individual,1/3,The Nobel Prize in Physiology or Medicine 1967,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",386.0,1903-12-22,"Bloomsburg, PA",United States of America,Male,Rockefeller University,"New York, NY",United States of America,1983-03-17,"Fallston, MD",United States of America
906,1967,Physiology or Medicine,George Wald,Individual,1/3,The Nobel Prize in Physiology or Medicine 1967,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",387.0,1906-11-18,"New York, NY",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,1997-04-12,"Cambridge, MA",United States of America
907,1968,Physiology or Medicine,Robert W. Holley,Individual,1/3,The Nobel Prize in Physiology or Medicine 1968,"""for their interpretation of the genetic code and its function in protein synthesis""",388.0,1922-01-28,"Urbana, IL",United States of America,Male,Cornell University,"Ithaca, NY",United States of America,1993-02-11,"Los Gatos, CA",United States of America
908,1968,Physiology or Medicine,Har Gobind Khorana,Individual,1/3,The Nobel Prize in Physiology or Medicine 1968,"""for their interpretation of the genetic code and its function in protein synthesis""",389.0,1922-01-09,Raipur,India,Male,University of Wisconsin,"Madison, WI",United States of America,2011-11-09,"Concord, MA",United States of America
909,1968,Physiology or Medicine,Marshall W. Nirenberg,Individual,1/3,The Nobel Prize in Physiology or Medicine 1968,"""for their interpretation of the genetic code and its function in protein synthesis""",390.0,1927-04-10,"New York, NY",United States of America,Male,National Institutes of Health,"Bethesda, MD",United States of America,2010-01-15,"New York, NY",United States of America
910,1969,Physiology or Medicine,Max Delbrück,Individual,1/3,The Nobel Prize in Physiology or Medicine 1969,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",391.0,1906-09-04,Berlin,Germany,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,1981-03-09,"Pasadena, CA",United States of America
911,1969,Physiology or Medicine,Alfred D. Hershey,Individual,1/3,The Nobel Prize in Physiology or Medicine 1969,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",392.0,1908-12-04,"Owosso, MI",United States of America,Male,Carnegie Institution of Washington,"Long Island, New York, NY",United States of America,1997-05-22,"Syosset, NY",United States of America
912,1969,Physiology or Medicine,Salvador E. Luria,Individual,1/3,The Nobel Prize in Physiology or Medicine 1969,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",393.0,1912-08-13,Torino,Italy,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,1991-02-06,"Lexington, MA",United States of America
913,1970,Physiology or Medicine,Sir Bernard Katz,Individual,1/3,The Nobel Prize in Physiology or Medicine 1970,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""",394.0,1911-03-26,Leipzig,Germany,Male,University College,London,United Kingdom,2003-04-20,London,United Kingdom
914,1970,Physiology or Medicine,Ulf von Euler,Individual,1/3,The Nobel Prize in Physiology or Medicine 1970,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""",395.0,1905-02-07,Stockholm,Sweden,Male,Karolinska Institutet,Stockholm,Sweden,1983-03-09,Stockholm,Sweden
915,1970,Physiology or Medicine,Julius Axelrod,Individual,1/3,The Nobel Prize in Physiology or Medicine 1970,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""",396.0,1912-05-30,"New York, NY",United States of America,Male,National Institutes of Health,"Bethesda, MD",United States of America,2004-12-29,"Rockville, MD",United States of America
916,1971,Physiology or Medicine,"Earl W. Sutherland, Jr.",Individual,1/1,The Nobel Prize in Physiology or Medicine 1971,"""for his discoveries concerning the mechanisms of the action of hormones""",397.0,1915-11-19,"Burlingame, KS",United States of America,Male,Vanderbilt University,"Nashville, TN",United States of America,1974-03-09,"Miami, FL",United States of America
917,1972,Physiology or Medicine,Gerald M. Edelman,Individual,1/2,The Nobel Prize in Physiology or Medicine 1972,"""for their discoveries concerning the chemical structure of antibodies""",398.0,1929-07-01,"New York, NY",United States of America,Male,Rockefeller University,"New York, NY",United States of America,2014-05-17,"La Jolla, CA",United States of America
918,1972,Physiology or Medicine,Rodney R. Porter,Individual,1/2,The Nobel Prize in Physiology or Medicine 1972,"""for their discoveries concerning the chemical structure of antibodies""",399.0,1917-10-08,Newton-le-Willows,United Kingdom,Male,University of Oxford,Oxford,United Kingdom,1985-09-06,Winchester,United Kingdom
919,1973,Physiology or Medicine,Karl von Frisch,Individual,1/3,The Nobel Prize in Physiology or Medicine 1973,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",400.0,1886-11-20,Vienna,Austria,Male,Zoologisches Institut der Universität München,Munich,Federal Republic of Germany,1982-06-12,Munich,West Germany (Germany)
920,1973,Physiology or Medicine,Konrad Lorenz,Individual,1/3,The Nobel Prize in Physiology or Medicine 1973,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",401.0,1903-11-07,Vienna,Austria,Male,"Konrad-Lorenz-Institut der Österreichischen Akademie der Wissen­schaften, Forschungsstelle für Ethologie",Altenberg; Grünau im Almtal,Austria,1989-02-27,Vienna,Austria
921,1973,Physiology or Medicine,Nikolaas Tinbergen,Individual,1/3,The Nobel Prize in Physiology or Medicine 1973,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",402.0,1907-04-15,the Hague,Netherlands,Male,University of Oxford,Oxford,United Kingdom,1988-12-21,Oxford,United Kingdom
922,1974,Physiology or Medicine,Albert Claude,Individual,1/3,The Nobel Prize in Physiology or Medicine 1974,"""for their discoveries concerning the structural and functional organization of the cell""",403.0,1898-08-24,Longlier,Belgium,Male,Université Catholique de Louvain,Louvain,Belgium,1983-05-22,Brussels,Belgium
923,1974,Physiology or Medicine,Christian de Duve,Individual,1/3,The Nobel Prize in Physiology or Medicine 1974,"""for their discoveries concerning the structural and functional organization of the cell""",404.0,1917-10-02,Thames Ditton,United Kingdom,Male,Rockefeller University,"New York, NY",United States of America,2013-05-04,Nethen,Belgium
924,1974,Physiology or Medicine,Christian de Duve,Individual,1/3,The Nobel Prize in Physiology or Medicine 1974,"""for their discoveries concerning the structural and functional organization of the cell""",404.0,1917-10-02,Thames Ditton,United Kingdom,Male,Université Catholique de Louvain,Louvain,Belgium,2013-05-04,Nethen,Belgium
925,1974,Physiology or Medicine,George E. Palade,Individual,1/3,The Nobel Prize in Physiology or Medicine 1974,"""for their discoveries concerning the structural and functional organization of the cell""",405.0,1912-11-19,Iasi,Romania,Male,"Yale University, School of Medicine","New Haven, CT",United States of America,2008-10-07,"Del Mar, CA",United States of America
926,1975,Physiology or Medicine,David Baltimore,Individual,1/3,The Nobel Prize in Physiology or Medicine 1975,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",406.0,1938-03-07,"New York, NY",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,N/A,N/A,N/A
927,1975,Physiology or Medicine,Renato Dulbecco,Individual,1/3,The Nobel Prize in Physiology or Medicine 1975,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",407.0,1914-02-22,Catanzaro,Italy,Male,Imperial Cancer Research Fund Laboratory,London,United Kingdom,2012-02-19,"La Jolla, CA",United States of America
928,1975,Physiology or Medicine,Howard Martin Temin,Individual,1/3,The Nobel Prize in Physiology or Medicine 1975,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",408.0,1934-12-10,"Philadelphia, PA",United States of America,Male,University of Wisconsin,"Madison, WI",United States of America,1994-02-09,"Madison, WI",United States of America
929,1976,Physiology or Medicine,Baruch S. Blumberg,Individual,1/2,The Nobel Prize in Physiology or Medicine 1976,"""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""",409.0,1925-07-28,"New York, NY",United States of America,Male,The Institute for Cancer Research,"Philadelphia, PA",United States of America,2011-04-05,"Moffett Field, CA",United States of America
930,1976,Physiology or Medicine,D. Carleton Gajdusek,Individual,1/2,The Nobel Prize in Physiology or Medicine 1976,"""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""",410.0,1923-09-09,"Yonkers, NY",United States of America,Male,National Institutes of Health,"Bethesda, MD",United States of America,2008-12-12,Tromsø,Norway
931,1977,Physiology or Medicine,Roger Guillemin,Individual,1/4,The Nobel Prize in Physiology or Medicine 1977,"""for their discoveries concerning the peptide hormone production of the brain""",411.0,1924-01-11,Dijon,France,Male,The Salk Institute,"San Diego, CA",United States of America,N/A,N/A,N/A
932,1977,Physiology or Medicine,Andrew V. Schally,Individual,1/4,The Nobel Prize in Physiology or Medicine 1977,"""for their discoveries concerning the peptide hormone production of the brain""",412.0,1926-11-30,Wilno (Vilnius),Poland (Lithuania),Male,Veterans Administration Hospital,"New Orleans, LA",United States of America,N/A,N/A,N/A
