Year,Category,Full Name,Motivation,Laureate Type,Prize Share,Prize,Laureate ID,Birth Date,Birth City,Birth Country,Sex,Organization Name,Organization City,Organization Country,Death Date,Death City,Death Country
1975,Chemistry,Vladimir Prelog,"""for his research into the stereochemistry of organic molecules and reactions""",Individual,1/2,The Nobel Prize in Chemistry 1975,248.0,1906-07-23,Sarajevo,Austria-Hungary (Bosnia and Herzegovina),Male,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,1998-01-07,Zurich,Switzerland
1976,Chemistry,William N. Lipscomb,"""for his studies on the structure of boranes illuminating problems of chemical bonding""",Individual,1/1,The Nobel Prize in Chemistry 1976,249.0,1919-12-09,"Cleveland, OH",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,2011-04-14,"Cambridge, MA",United States of America
1977,Chemistry,Ilya Prigogine,"""for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures""",Individual,1/1,The Nobel Prize in Chemistry 1977,250.0,1917-01-25,Moscow,Russia,Male,Université Libre de Bruxelles,Brussels,Belgium,2003-05-28,Brussels,Belgium
1977,Chemistry,Ilya Prigogine,"""for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures""",Individual,1/1,The Nobel Prize in Chemistry 1977,250.0,1917-01-25,Moscow,Russia,Male,University of Texas,"Austin, TX",United States of America,2003-05-28,Brussels,Belgium
1978,Chemistry,Peter D. Mitchell,"""for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory""",Individual,1/1,The Nobel Prize in Chemistry 1978,251.0,1920-09-29,Mitcham,United Kingdom,Male,Glynn Research Laboratories,Bodmin,United Kingdom,1992-04-10,Bodmin,United Kingdom
1979,Chemistry,Herbert C. Brown,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis""",Individual,1/2,The Nobel Prize in Chemistry 1979,252.0,1912-05-22,London,United Kingdom,Male,Purdue University,"West Lafayette, IN",United States of America,2004-12-19,"Lafayette, IN",United States of America
1979,Chemistry,Georg Wittig,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis""",Individual,1/2,The Nobel Prize in Chemistry 1979,253.0,1897-06-16,Berlin,Germany,Male,University of Heidelberg,Heidelberg,Federal Republic of Germany,1987-08-26,Heidelberg,West Germany (Germany)
1980,Chemistry,Frederick Sanger,"""for their contributions concerning the determination of base sequences in nucleic acids""",Individual,1/4,The Nobel Prize in Chemistry 1980,222.0,1918-08-13,Rendcombe,United Kingdom,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,2013-11-19,Cambridge,United Kingdom
1980,Chemistry,Paul Berg,"""for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA""",Individual,1/2,The Nobel Prize in Chemistry 1980,254.0,1926-06-30,"New York, NY",United States of America,Male,Stanford University,"Stanford, CA",United States of America,,,
1980,Chemistry,Walter Gilbert,"""for their contributions concerning the determination of base sequences in nucleic acids""",Individual,1/4,The Nobel Prize in Chemistry 1980,255.0,1932-03-21,"Boston, MA",United States of America,Male,"Harvard University, Biological Laboratories","Cambridge, MA",United States of America,,,
1981,Chemistry,Kenichi Fukui,"""for their theories, developed independently, concerning the course of chemical reactions""",Individual,1/2,The Nobel Prize in Chemistry 1981,257.0,1918-10-04,Nara,Japan,Male,Kyoto University,Kyoto,Japan,1998-01-09,Kyoto,Japan
1981,Chemistry,Roald Hoffmann,"""for their theories, developed independently, concerning the course of chemical reactions""",Individual,1/2,The Nobel Prize in Chemistry 1981,258.0,1937-07-18,Zloczov,Poland (Ukraine),Male,Cornell University,"Ithaca, NY",United States of America,,,
1982,Chemistry,Aaron Klug,"""for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes""",Individual,1/1,The Nobel Prize in Chemistry 1982,259.0,1926-08-11,Zelvas,Lithuania,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,,,
1983,Chemistry,Henry Taube,"""for his work on the mechanisms of electron transfer reactions, especially in metal complexes""",Individual,1/1,The Nobel Prize in Chemistry 1983,260.0,1915-11-30,Neudorf,Canada,Male,Stanford University,"Stanford, CA",United States of America,2005-11-16,"Stanford, CA",United States of America
1984,Chemistry,Robert Bruce Merrifield,"""for his development of methodology for chemical synthesis on a solid matrix""",Individual,1/1,The Nobel Prize in Chemistry 1984,261.0,1921-07-15,"Fort Worth, TX",United States of America,Male,Rockefeller University,"New York, NY",United States of America,2006-05-14,"Cresskill, NJ",United States of America
1985,Chemistry,Herbert A. Hauptman,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",Individual,1/2,The Nobel Prize in Chemistry 1985,262.0,1917-02-14,"New York, NY",United States of America,Male,The Medical Foundation of Buffalo,"Buffalo, NY",United States of America,2011-10-23,"Buffalo, NY",United States of America
1985,Chemistry,Jerome Karle,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",Individual,1/2,The Nobel Prize in Chemistry 1985,263.0,1918-06-18,"New York, NY",United States of America,Male,US Naval Research Laboratory,"Washington, DC",United States of America,2013-06-06,,
1986,Chemistry,Dudley R. Herschbach,"""for their contributions concerning the dynamics of chemical elementary processes""",Individual,1/3,The Nobel Prize in Chemistry 1986,264.0,1932-06-18,"San José, CA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,,,
1986,Chemistry,Yuan T. Lee,"""for their contributions concerning the dynamics of chemical elementary processes""",Individual,1/3,The Nobel Prize in Chemistry 1986,265.0,1936-11-19,Hsinchu,Taiwan,Male,University of California,"Berkeley, CA",United States of America,,,
1986,Chemistry,John C. Polanyi,"""for their contributions concerning the dynamics of chemical elementary processes""",Individual,1/3,The Nobel Prize in Chemistry 1986,266.0,1929-01-23,Berlin,Germany,Male,University of Toronto,Toronto,Canada,,,
1987,Chemistry,Donald J. Cram,"""for their development and use of molecules with structure-specific interactions of high selectivity""",Individual,1/3,The Nobel Prize in Chemistry 1987,267.0,1919-04-22,"Chester, VT",United States of America,Male,University of California,"Los Angeles, CA",United States of America,2001-06-17,"Palm Desert, CA",United States of America
1987,Chemistry,Jean-Marie Lehn,"""for their development and use of molecules with structure-specific interactions of high selectivity""",Individual,1/3,The Nobel Prize in Chemistry 1987,268.0,1939-09-30,Rosheim,France,Male,Université Louis Pasteur,Strasbourg,France,,,
1987,Chemistry,Jean-Marie Lehn,"""for their development and use of molecules with structure-specific interactions of high selectivity""",Individual,1/3,The Nobel Prize in Chemistry 1987,268.0,1939-09-30,Rosheim,France,Male,Collège de France,Paris,France,,,
1987,Chemistry,Charles J. Pedersen,"""for their development and use of molecules with structure-specific interactions of high selectivity""",Individual,1/3,The Nobel Prize in Chemistry 1987,269.0,1904-10-03,Pusan,Korea (South Korea),Male,Du Pont,"Wilmington, DE",United States of America,1989-10-26,"Salem, NJ",United States of America
1988,Chemistry,Johann Deisenhofer,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",Individual,1/3,The Nobel Prize in Chemistry 1988,270.0,1943-09-30,Zusamaltheim,Germany,Male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",United States of America,,,
1988,Chemistry,Johann Deisenhofer,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",Individual,1/3,The Nobel Prize in Chemistry 1988,270.0,1943-09-30,Zusamaltheim,Germany,Male,Howard Hughes Medical Institute,,,,,
1988,Chemistry,Robert Huber,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",Individual,1/3,The Nobel Prize in Chemistry 1988,271.0,1937-02-20,Munich,Germany,Male,Max-Planck-Institut für Biochemie,Martinsried,Federal Republic of Germany,,,
1988,Chemistry,Hartmut Michel,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",Individual,1/3,The Nobel Prize in Chemistry 1988,272.0,1948-07-18,Ludwigsburg,West Germany (Germany),Male,Max-Planck-Institut für Biophysik,Frankfurt-on-the-Main,Federal Republic of Germany,,,
1989,Chemistry,Sidney Altman,"""for their discovery of catalytic properties of RNA""",Individual,1/2,The Nobel Prize in Chemistry 1989,273.0,1939-05-07,Montreal,Canada,Male,Yale University,"New Haven, CT",United States of America,,,
1989,Chemistry,Thomas R. Cech,"""for their discovery of catalytic properties of RNA""",Individual,1/2,The Nobel Prize in Chemistry 1989,274.0,1947-12-08,"Chicago, IL",United States of America,Male,University of Colorado,"Boulder, CO",United States of America,,,
1990,Chemistry,Elias James Corey,"""for his development of the theory and methodology of organic synthesis""",Individual,1/1,The Nobel Prize in Chemistry 1990,275.0,1928-07-12,"Methuen, MA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,,,
1991,Chemistry,Richard R. Ernst,"""for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy""",Individual,1/1,The Nobel Prize in Chemistry 1991,276.0,1933-08-14,Winterthur,Switzerland,Male,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,,,
1992,Chemistry,Rudolph A. Marcus,"""for his contributions to the theory of electron transfer reactions in chemical systems""",Individual,1/1,The Nobel Prize in Chemistry 1992,277.0,1923-07-21,Montreal,Canada,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,,,
1993,Chemistry,Kary B. Mullis,"""for contributions to the developments of methods within DNA-based chemistry; for his invention of the polymerase chain reaction (PCR) method""",Individual,1/2,The Nobel Prize in Chemistry 1993,278.0,1944-12-28,"Lenoir, NC",United States of America,Male,,"La Jolla, CA",United States of America,,,
1993,Chemistry,Michael Smith,"""for contributions to the developments of methods within DNA-based chemistry; for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies""",Individual,1/2,The Nobel Prize in Chemistry 1993,279.0,1932-04-26,Blackpool,United Kingdom,Male,University of British Columbia,Vancouver,Canada,2000-10-04,Vancouver,Canada
1994,Chemistry,George A. Olah,"""for his contribution to carbocation chemistry""",Individual,1/1,The Nobel Prize in Chemistry 1994,280.0,1927-05-22,Budapest,Hungary,Male,University of Southern California,"Los Angeles, CA",United States of America,,,
1995,Chemistry,Paul J. Crutzen,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""",Individual,1/3,The Nobel Prize in Chemistry 1995,281.0,1933-12-03,Amsterdam,Netherlands,Male,Max-Planck-Institut für Chemie,Mainz,Federal Republic of Germany,,,
1995,Chemistry,Mario J. Molina,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""",Individual,1/3,The Nobel Prize in Chemistry 1995,282.0,1943-03-19,Mexico City,Mexico,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,,,
1995,Chemistry,F. Sherwood Rowland,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""",Individual,1/3,The Nobel Prize in Chemistry 1995,283.0,1927-06-28,"Delaware, OH",United States of America,Male,University of California,"Irvine, CA",United States of America,2012-03-10,"Corona del Mar, CA",United States of America
1996,Chemistry,Robert F. Curl Jr.,"""for their discovery of fullerenes""",Individual,1/3,The Nobel Prize in Chemistry 1996,284.0,1933-08-23,"Alice, TX",United States of America,Male,Rice University,"Houston, TX",United States of America,,,
1996,Chemistry,Sir Harold W. Kroto,"""for their discovery of fullerenes""",Individual,1/3,The Nobel Prize in Chemistry 1996,285.0,1939-10-07,Wisbech,United Kingdom,Male,University of Sussex,Brighton,United Kingdom,2016-04-30,"Lewes, East Sussex",United Kingdom
1996,Chemistry,Richard E. Smalley,"""for their discovery of fullerenes""",Individual,1/3,The Nobel Prize in Chemistry 1996,286.0,1943-06-06,"Akron, OH",United States of America,Male,Rice University,"Houston, TX",United States of America,2005-10-28,"Houston, TX",United States of America
1997,Chemistry,Paul D. Boyer,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)""",Individual,1/4,The Nobel Prize in Chemistry 1997,287.0,1918-07-31,"Provo, UT",United States of America,Male,University of California,"Los Angeles, CA",United States of America,,,
1997,Chemistry,John E. Walker,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)""",Individual,1/4,The Nobel Prize in Chemistry 1997,288.0,1941-01-07,Halifax,United Kingdom,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,,,
1997,Chemistry,Jens C. Skou,"""for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase""",Individual,1/2,The Nobel Prize in Chemistry 1997,289.0,1918-10-08,Lemvig,Denmark,Male,Aarhus University,Aarhus,Denmark,,,
1998,Chemistry,Walter Kohn,"""for his development of the density-functional theory""",Individual,1/2,The Nobel Prize in Chemistry 1998,290.0,1923-03-09,Vienna,Austria,Male,University of California,"Santa Barbara, CA",United States of America,2016-04-19,"Santa Barbara, CA",United States of America
